item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD00219,PROD0267,8,3407.17,14.69
ITEM00002,ORD00438,PROD0340,17,2120.31,14.13
ITEM00003,ORD00043,PROD0309,12,2316.04,24.5
ITEM00004,ORD00389,PROD0303,5,2222.85,1.25
ITEM00005,ORD00465,PROD0114,14,1802.31,83.11
ITEM00006,ORD00472,PROD0055,2,2369.9,41.65
ITEM00007,ORD00154,PROD0203,5,1469.76,76.54
ITEM00008,ORD00305,PROD0005,15,4765.45,46.98
ITEM00009,ORD00276,PROD0276,17,2626.94,14.01
ITEM00010,ORD00079,PROD0437,18,3606.41,52.75
ITEM00011,ORD00284,PROD0236,13,4622.87,94.88
ITEM00012,ORD00373,PROD0162,19,1182.38,47.02
ITEM00013,ORD00090,PROD0075,14,3196.39,72.26
ITEM00014,ORD00132,PROD0418,16,480.36,44.4
ITEM00015,ORD00195,PROD0483,14,1563.02,64.48
ITEM00016,ORD00238,PROD0152,5,3864.36,1.32
ITEM00017,ORD00157,PROD0429,16,4233.97,11.13
ITEM00018,ORD00233,PROD0113,5,3191.65,6.0
ITEM00019,ORD00146,PROD0256,17,429.63,64.25
ITEM00020,ORD00193,PROD0349,4,1238.18,60.42
ITEM00021,ORD00288,PROD0234,15,513.49,17.36
ITEM00022,ORD00311,PROD0076,6,2897.82,16.03
ITEM00023,ORD00247,PROD0308,12,468.7,39.64
ITEM00024,ORD00037,PROD0146,4,1464.96,42.36
ITEM00025,ORD00171,PROD0075,14,4651.47,94.82
ITEM00026,ORD00070,PROD0383,12,4051.32,45.43
ITEM00027,ORD00367,PROD0341,2,102.94,71.14
ITEM00028,ORD00241,PROD0435,4,4744.56,25.81
ITEM00029,ORD00101,PROD0411,12,3401.31,57.21
ITEM00030,ORD00080,PROD0424,16,4665.59,30.6
ITEM00031,ORD00470,PROD0360,-8,725.32,22.73
ITEM00032,ORD00098,PROD0018,19,2514.14,93.15
ITEM00033,ORD00003,PROD0307,10,3441.35,27.18
ITEM00034,ORD00007,PROD0164,7,3400.03,9.19
ITEM00035,ORD00442,PROD0159,16,2685.43,37.76
ITEM00036,ORD00257,PROD0258,-2,667.22,95.11
ITEM00037,ORD00374,PROD0353,2,118.81,74.31
ITEM00038,ORD00372,PROD0064,19,991.41,40.04
ITEM00039,ORD00192,PROD0141,15,4165.42,5.6
ITEM00040,ORD00252,PROD0435,13,86.09,39.23
ITEM00041,ORD00208,PROD0362,20,2153.65,82.25
ITEM00042,ORD00474,PROD0294,5,2694.91,97.6
ITEM00043,ORD00213,PROD0245,15,1758.05,60.51
ITEM00044,ORD00482,PROD0324,15,4971.4,7.72
ITEM00045,ORD00203,PROD0425,11,3322.81,69.24
ITEM00046,ORD00497,PROD0111,20,4606.27,47.74
ITEM00047,ORD00381,PROD0254,14,4995.88,65.27
ITEM00048,ORD00192,PROD0150,13,4727.46,40.51
ITEM00049,ORD00197,PROD0361,2,3436.19,38.05
ITEM00050,ORD00251,PROD0495,15,259.66,5.47
ITEM00051,ORD00158,PROD0193,3,2270.83,37.15
ITEM00052,ORD00329,PROD0031,1,884.24,42.42
ITEM00053,ORD00302,PROD0415,10,4654.42,26.99
ITEM00054,ORD00037,PROD0171,4,3830.37,10.44
ITEM00055,ORD00210,PROD0079,3,4523.8,36.27
ITEM00056,ORD00454,PROD0424,20,915.33,77.88
ITEM00057,ORD00020,PROD0367,2,1866.9,33.55
ITEM00058,ORD00472,PROD0108,17,709.93,23.95
ITEM00059,ORD00064,PROD0435,16,1798.79,16.28
ITEM00060,ORD00198,PROD0376,1,301.99,10.65
ITEM00061,ORD00478,PROD0479,18,2502.76,21.19
ITEM00062,ORD00290,PROD0415,1,893.9,1.1
ITEM00063,ORD00084,PROD0116,7,4850.16,90.97
ITEM00064,ORD00100,PROD0359,19,1722.9,18.77
ITEM00065,ORD00391,PROD0377,18,3411.36,20.17
ITEM00066,ORD00224,PROD0027,13,4167.05,92.92
ITEM00067,ORD00491,PROD0473,16,4261.35,24.03
ITEM00068,ORD00131,PROD0444,1,4296.14,8.5
ITEM00069,ORD00395,PROD0398,6,1485.82,57.01
ITEM00070,ORD00468,PROD0092,17,2441.47,4.49
ITEM00071,ORD00385,PROD0439,9,1360.52,98.65
ITEM00072,ORD00370,PROD0250,4,61.06,48.38
ITEM00073,ORD00179,PROD0373,10,3174.32,4.8
ITEM00074,ORD00261,PROD0201,9,1998.43,9.32
ITEM00075,ORD00364,PROD0154,5,4619.13,30.86
ITEM00076,ORD00251,PROD0418,14,4649.09,98.05
ITEM00077,ORD00326,PROD0338,2,4797.72,75.17
ITEM00078,ORD00353,PROD0468,11,2601.87,95.87
ITEM00079,ORD00189,PROD0435,2,4472.42,50.02
ITEM00080,ORD00357,PROD0082,4,4680.3,31.45
ITEM00081,ORD00030,PROD0012,14,4467.84,39.06
