order_id,customer_id,order_date,status,region_code
ORD00001,CUST0191,2024-03-17 00:00:00,SHIPPED,SOUTH
ORD00002,CUST0128,2024-03-21 00:00:00,SHIPPED,CENTRAL
ORD00003,CUST0047,2023-12-17 00:00:00,PLACED,WEST
ORD00004,CUST0174,2023-08-30 00:00:00,PLACED,NORTH
ORD00005,CUST0389,2023-03-21 00:00:00,PLACED,SOUTH
ORD00006,CUST0031,2024-05-13 00:00:00,PLACED,SOUTH
ORD00007,CUST0079,2024-04-19 00:00:00,CANCELLED,NORTH
ORD00008,CUST0406,2023-04-10 00:00:00,PLACED,SOUTH
ORD00009,CUST0250,2023-06-30 00:00:00,SHIPPED,SOUTH
ORD00010,CUST0286,2024-02-20 00:00:00,CANCELLED,NORTH
ORD00011,CUST0388,2023-04-22 00:00:00,RETURNED,WEST
ORD00012,CUST0457,2024-01-24 00:00:00,DELIVERED,EAST
ORD00013,CUST0099,2023-03-04 00:00:00,SHIPPED,SOUTH
ORD00014,UNKNOWN,2023-05-23 00:00:00,DELIVERED,WEST
ORD00015,CUST0371,2023-01-01 00:00:00,RETURNED,WEST
ORD00016,CUST0461,2023-06-02 00:00:00,RETURNED,NORTH
ORD00017,UNKNOWN,2023-10-26 00:00:00,PLACED,WEST
ORD00018,CUST0287,2024-04-02 00:00:00,PLACED,NORTH
ORD00019,CUST0357,2023-11-21 00:00:00,RETURNED,WEST
ORD00020,CUST0291,2023-11-08 00:00:00,CANCELLED,EAST
ORD00021,CUST0179,2024-03-21 00:00:00,CANCELLED,CENTRAL
ORD00022,CUST0240,2023-12-19 00:00:00,SHIPPED,WEST
ORD00023,CUST0426,2023-01-09 00:00:00,DELIVERED,WEST
ORD00024,CUST0441,2024-06-06 00:00:00,CANCELLED,WEST
ORD00025,CUST0036,2023-05-11 00:00:00,CANCELLED,NORTH
ORD00026,CUST0231,2023-03-05 00:00:00,RETURNED,SOUTH
ORD00027,CUST0135,2023-02-24 00:00:00,DELIVERED,NORTH
ORD00028,CUST0233,2024-01-03 00:00:00,RETURNED,EAST
ORD00029,UNKNOWN,2023-10-16 00:00:00,DELIVERED,NORTH
ORD00030,CUST0195,2023-08-29 00:00:00,RETURNED,SOUTH
ORD00031,CUST0453,2024-02-08 00:00:00,RETURNED,EAST
ORD00032,UNKNOWN,2024-01-27 00:00:00,PLACED,SOUTH
ORD00033,CUST0398,2024-03-21 00:00:00,PLACED,SOUTH
ORD00034,CUST0165,2023-06-27 00:00:00,CANCELLED,CENTRAL
ORD00035,CUST0338,2023-07-12 00:00:00,PLACED,EAST
ORD00036,CUST0420,2024-01-04 00:00:00,CANCELLED,CENTRAL
ORD00037,CUST0269,2023-06-07 00:00:00,CANCELLED,CENTRAL
ORD00038,CUST0393,2023-05-09 00:00:00,DELIVERED,SOUTH
ORD00039,CUST0314,2023-03-15 00:00:00,CANCELLED,CENTRAL
ORD00040,CUST0210,2023-05-28 00:00:00,CANCELLED,NORTH
ORD00041,CUST0057,2024-05-13 00:00:00,CANCELLED,CENTRAL
ORD00042,CUST0338,2023-05-20 00:00:00,PLACED,CENTRAL
ORD00043,CUST0428,2024-03-01 00:00:00,PLACED,SOUTH
ORD00044,CUST0092,2024-03-11 00:00:00,SHIPPED,WEST
ORD00045,CUST0104,2024-04-10 00:00:00,RETURNED,NORTH
ORD00046,CUST0099,2024-04-05 00:00:00,DELIVERED,SOUTH
ORD00047,CUST0293,2023-08-20 00:00:00,SHIPPED,WEST
ORD00048,CUST0199,2023-01-08 00:00:00,CANCELLED,NORTH
ORD00049,CUST0270,2023-08-31 00:00:00,CANCELLED,EAST
ORD00050,CUST0303,2023-10-03 00:00:00,SHIPPED,NORTH
ORD00051,CUST0188,2024-01-11 00:00:00,DELIVERED,EAST
ORD00052,CUST0368,2023-02-08 00:00:00,CANCELLED,NORTH
ORD00053,CUST0477,2024-01-13 00:00:00,CANCELLED,WEST
ORD00054,CUST0336,2024-05-08 00:00:00,PLACED,EAST
ORD00055,CUST0456,2023-03-23 00:00:00,RETURNED,CENTRAL
ORD00056,CUST0240,2024-06-23 00:00:00,CANCELLED,NORTH
ORD00057,CUST0032,2023-10-14 00:00:00,RETURNED,EAST
ORD00058,CUST0381,2023-03-22 00:00:00,RETURNED,SOUTH
ORD00059,CUST0213,2023-04-01 00:00:00,RETURNED,NORTH
ORD00060,CUST0407,2023-03-21 00:00:00,CANCELLED,NORTH
ORD00061,CUST0422,2023-11-16 00:00:00,CANCELLED,WEST
ORD00062,CUST0271,2023-12-18 00:00:00,RETURNED,WEST
ORD00063,UNKNOWN,2023-01-12 00:00:00,SHIPPED,WEST
ORD00064,CUST0156,2024-06-08 00:00:00,RETURNED,EAST
ORD00065,CUST0111,2023-12-06 00:00:00,PLACED,CENTRAL
ORD00066,CUST0050,2023-10-29 00:00:00,CANCELLED,NORTH
ORD00067,CUST0119,2023-02-06 00:00:00,DELIVERED,EAST
ORD00068,CUST0098,2023-11-08 00:00:00,CANCELLED,NORTH
ORD00069,CUST0337,2023-09-24 00:00:00,RETURNED,CENTRAL
ORD00070,CUST0321,2024-04-29 00:00:00,CANCELLED,WEST
ORD00071,CUST0286,2023-02-22 00:00:00,RETURNED,EAST
ORD00072,CUST0213,2023-10-26 00:00:00,DELIVERED,CENTRAL
ORD00073,CUST0393,2023-01-28 00:00:00,DELIVERED,SOUTH
ORD00074,CUST0184,2023-03-26 00:00:00,DELIVERED,SOUTH
ORD00075,CUST0360,2023-03-20 00:00:00,PLACED,NORTH
ORD00076,CUST0453,2023-10-12 00:00:00,PLACED,EAST
ORD00077,CUST0406,2023-10-15 00:00:00,RETURNED,EAST
ORD00078,CUST0206,2023-09-21 00:00:00,PLACED,NORTH
ORD00079,CUST0337,2023-04-25 00:00:00,SHIPPED,NORTH
ORD00080,CUST0308,2023-06-04 00:00:00,DELIVERED,CENTRAL
ORD00081,CUST0181,2024-01-14 00:00:00,DELIVERED,CENTRAL
ORD00082,CUST0282,2023-09-25 00:00:00,RETURNED,WEST
ORD00083,CUST0167,2023-08-30 00:00:00,PLACED,NORTH
ORD00084,CUST0212,2024-06-24 00:00:00,DELIVERED,WEST
ORD00085,CUST0221,2023-12-18 00:00:00,CANCELLED,EAST
ORD00086,CUST0166,2023-05-29 00:00:00,PLACED,SOUTH
ORD00087,CUST0289,2023-06-07 00:00:00,CANCELLED,SOUTH
ORD00088,CUST0193,2024-02-27 00:00:00,DELIVERED,WEST
ORD00089,CUST0475,2023-09-01 00:00:00,DELIVERED,NORTH
ORD00090,CUST0185,2023-06-21 00:00:00,CANCELLED,NORTH
ORD00091,CUST0230,2023-12-20 00:00:00,DELIVERED,SOUTH
ORD00092,CUST0001,2023-09-28 00:00:00,PLACED,SOUTH
ORD00093,CUST0146,2023-04-29 00:00:00,SHIPPED,WEST
ORD00094,CUST0266,2024-04-20 00:00:00,SHIPPED,WEST
ORD00095,CUST0456,2023-11-05 00:00:00,SHIPPED,EAST
ORD00096,CUST0154,2024-06-29 00:00:00,DELIVERED,SOUTH
ORD00097,CUST0110,2024-02-04 00:00:00,RETURNED,NORTH
ORD00098,CUST0012,2023-05-29 00:00:00,PLACED,EAST
ORD00099,CUST0483,2024-03-21 00:00:00,PLACED,WEST
ORD00100,CUST0142,2024-04-04 00:00:00,DELIVERED,WEST
ORD00101,CUST0262,2023-11-20 00:00:00,PLACED,EAST
ORD00102,CUST0475,2023-02-12 00:00:00,DELIVERED,CENTRAL
ORD00103,CUST0049,2024-06-28 00:00:00,SHIPPED,SOUTH
ORD00104,UNKNOWN,2024-03-18 00:00:00,PLACED,EAST
ORD00105,CUST0071,2023-10-07 00:00:00,RETURNED,NORTH
ORD00106,CUST0456,2023-10-01 00:00:00,DELIVERED,EAST
ORD00107,CUST0120,2023-09-19 00:00:00,PLACED,CENTRAL
ORD00108,CUST0154,2024-02-05 00:00:00,CANCELLED,SOUTH
ORD00109,CUST0205,2023-09-05 00:00:00,CANCELLED,WEST
ORD00110,CUST0112,2023-07-19 00:00:00,RETURNED,WEST
ORD00111,CUST0371,2023-07-04 00:00:00,RETURNED,WEST
ORD00112,CUST0248,2023-01-11 00:00:00,CANCELLED,WEST
ORD00113,CUST0423,2023-03-11 00:00:00,DELIVERED,EAST
ORD00114,CUST0360,2023-04-11 00:00:00,PLACED,CENTRAL
ORD00115,CUST0465,2024-04-01 00:00:00,CANCELLED,CENTRAL
ORD00116,CUST0329,2023-10-18 00:00:00,RETURNED,WEST
ORD00117,CUST0375,2023-02-04 00:00:00,PLACED,NORTH
ORD00118,CUST0196,2023-04-05 00:00:00,DELIVERED,WEST
ORD00119,CUST0029,2023-08-11 00:00:00,CANCELLED,EAST
ORD00120,CUST0172,2023-05-05 00:00:00,RETURNED,CENTRAL
ORD00121,CUST0419,2023-05-03 00:00:00,CANCELLED,SOUTH
ORD00122,CUST0477,2023-05-14 00:00:00,DELIVERED,WEST
ORD00123,CUST0446,2023-07-09 00:00:00,RETURNED,WEST
ORD00124,CUST0383,2023-07-08 00:00:00,PLACED,NORTH
ORD00125,CUST0309,2024-04-23 00:00:00,CANCELLED,NORTH
ORD00126,CUST0325,2023-03-19 00:00:00,PLACED,CENTRAL
ORD00127,CUST0196,2023-10-11 00:00:00,SHIPPED,EAST
ORD00128,CUST0269,2023-11-28 00:00:00,DELIVERED,WEST
ORD00129,UNKNOWN,2023-03-17 00:00:00,CANCELLED,SOUTH
ORD00130,CUST0077,2023-03-05 00:00:00,RETURNED,SOUTH
ORD00131,CUST0358,2023-12-07 00:00:00,DELIVERED,WEST
ORD00132,CUST0026,2023-09-22 00:00:00,SHIPPED,CENTRAL
ORD00133,CUST0202,2023-09-29 00:00:00,RETURNED,CENTRAL
ORD00134,CUST0386,2023-03-13 00:00:00,DELIVERED,NORTH
ORD00135,CUST0259,2023-07-25 00:00:00,DELIVERED,EAST
ORD00136,CUST0222,2023-07-02 00:00:00,CANCELLED,WEST
ORD00137,CUST0202,2023-04-22 00:00:00,SHIPPED,WEST
ORD00138,CUST0173,2024-03-17 00:00:00,CANCELLED,NORTH
ORD00139,CUST0293,2023-04-19 00:00:00,PLACED,WEST
ORD00140,CUST0281,2023-09-23 00:00:00,RETURNED,EAST
ORD00141,CUST0044,2023-03-16 00:00:00,SHIPPED,SOUTH
ORD00142,CUST0223,2023-09-14 00:00:00,DELIVERED,SOUTH
ORD00143,CUST0067,2023-01-20 00:00:00,DELIVERED,EAST
ORD00144,CUST0247,2023-06-02 00:00:00,PLACED,SOUTH
ORD00145,CUST0250,2023-01-01 00:00:00,DELIVERED,CENTRAL
ORD00146,CUST0293,2024-02-04 00:00:00,RETURNED,WEST
ORD00147,CUST0316,2023-12-04 00:00:00,CANCELLED,EAST
ORD00148,CUST0269,2023-01-04 00:00:00,SHIPPED,CENTRAL
ORD00149,CUST0037,2024-05-17 00:00:00,RETURNED,NORTH
ORD00150,CUST0221,2024-02-18 00:00:00,PLACED,CENTRAL
ORD00151,CUST0474,2023-03-13 00:00:00,RETURNED,NORTH
ORD00152,CUST0058,2023-01-04 00:00:00,PLACED,NORTH
ORD00153,CUST0217,2024-05-08 00:00:00,RETURNED,CENTRAL
ORD00154,CUST0098,2024-01-03 00:00:00,DELIVERED,NORTH
ORD00155,CUST0305,2023-11-07 00:00:00,DELIVERED,CENTRAL
ORD00156,CUST0395,2023-04-03 00:00:00,PLACED,WEST
ORD00157,CUST0180,2023-12-15 00:00:00,RETURNED,WEST
ORD00158,CUST0412,2024-04-15 00:00:00,RETURNED,NORTH
ORD00159,CUST0075,2023-10-24 00:00:00,CANCELLED,WEST
ORD00160,CUST0474,2023-06-30 00:00:00,CANCELLED,CENTRAL
ORD00161,CUST0103,2024-01-29 00:00:00,SHIPPED,EAST
ORD00162,CUST0080,2023-11-03 00:00:00,DELIVERED,EAST
ORD00163,CUST0437,2023-04-20 00:00:00,PLACED,EAST
ORD00164,CUST0379,2024-01-03 00:00:00,DELIVERED,CENTRAL
ORD00165,CUST0486,2024-03-24 00:00:00,RETURNED,NORTH
ORD00166,CUST0076,2023-05-24 00:00:00,DELIVERED,CENTRAL
ORD00167,CUST0420,2023-01-26 00:00:00,CANCELLED,NORTH
ORD00168,CUST0176,2023-09-02 00:00:00,RETURNED,NORTH
ORD00169,CUST0057,2023-03-06 00:00:00,DELIVERED,WEST
ORD00170,CUST0242,2023-11-12 00:00:00,SHIPPED,SOUTH
ORD00171,UNKNOWN,2024-04-05 00:00:00,CANCELLED,SOUTH
ORD00172,CUST0276,2023-01-17 00:00:00,CANCELLED,WEST
ORD00173,CUST0280,2023-02-27 00:00:00,DELIVERED,NORTH
ORD00174,CUST0133,2023-02-13 00:00:00,RETURNED,NORTH
ORD00175,CUST0319,2023-08-05 00:00:00,RETURNED,WEST
ORD00176,CUST0073,2024-06-19 00:00:00,CANCELLED,EAST
