product_id,product_name,category,subcategory,cost_price
PROD0001,Bedsheet 1,Home,Bedsheet,2888.76
PROD0002,Jacket   2,Clothing,Jacket,847.59
PROD0003,Saree 3,Clothing,Saree,3166.23
PROD0004,Pillow   4,Home,Pillow,243.99
PROD0005,Smart Watch 5,Electronics,Smart Watch,2882.73
PROD0006,Charger 6,Electronics,Charger,326.76
PROD0007,Rug 7,Home,Rug,1328.39
PROD0008,Data Science 8,Books,Data Science,941.19
PROD0009,Self Help 9,Books,Self Help,4793.28
PROD0010,Mirror 10,Home,Mirror,3016.82
PROD0011,Camera 11,Electronics,Camera,2839.84
PROD0012,Jeans 12,Clothing,Jeans,142.17
PROD0013,Comics 13,Books,Comics,3611.76
PROD0014,Mirror 14,Home,Mirror,3325.64
PROD0015,Biography 15,Books,Biography,1453.1
PROD0016,Biography 16,Books,Biography,474.46
PROD0017,Smart Watch 17,Electronics,Smart Watch,2273.56
PROD0018,History Book 18,Books,History Book,4964.24
PROD0019,Mirror 19,Home,Mirror,4343.15
PROD0020,Shoes   20,Clothing,Shoes,894.31
PROD0021,History Book 21,Books,History Book,4160.3
PROD0022,Jeans 22,Clothing,Jeans,3024.15
PROD0023,Lamp 23,Home,Lamp,3983.35
PROD0024,Smartphone 24,Electronics,Smartphone,4111.24
PROD0025,Fiction Novel 25,Books,Fiction Novel,950.33
PROD0026,Lamp 26,Home,Lamp,3315.26
PROD0027,Rug 27,Home,Rug,1359.38
PROD0028,Mirror 28,Home,Mirror,3634.72
PROD0029,Charger 29,Electronics,Charger,1746.22
PROD0030,T-Shirt 30,Clothing,T-Shirt,2294.68
PROD0031,Fiction Novel 31,Books,Fiction Novel,2973.45
PROD0032,Headphones 32,Electronics,Headphones,1187.58
PROD0033,Clock 33,Home,Clock,1958.04
PROD0034,Python Programming 34,Books,Python Programming,587.42
PROD0035,Comics 35,Books,Comics,1051.63
PROD0036,Mirror 36,Home,Mirror,4304.98
PROD0037,Rug 37,Home,Rug,2546.58
PROD0038,Jacket 38,Clothing,Jacket,2127.99
PROD0039,Cookbook 39,Books,Cookbook,790.33
PROD0040,Vase 40,Home,Vase,526.68
PROD0041,Cookbook 41,Books,Cookbook,2405.55
PROD0042,Bedsheet 42,Home,Bedsheet,3093.0
PROD0043,Self Help 43,Books,Self Help,243.23
PROD0044,Lamp 44,Home,Lamp,3930.15
PROD0045,Headphones   45,Electronics,Headphones,2541.48
PROD0046,Cookbook 46,Books,Cookbook,631.71
PROD0047,Tablet 47,Electronics,Tablet,2437.09
PROD0048,Self Help 48,Books,Self Help,695.13
PROD0049,Laptop 49,Electronics,Laptop,3037.2
PROD0050,Tablet 50,Electronics,Tablet,4146.23
PROD0051,Speaker 51,Electronics,Speaker,4490.0
PROD0052,Pillow 52,Home,Pillow,3885.61
PROD0053,Camera 53,Electronics,Camera,3263.7
PROD0054,Fiction Novel 54,Books,Fiction Novel,2634.12
PROD0055,Camera 55,Electronics,Camera,1883.37
PROD0056,T-Shirt 56,Clothing,T-Shirt,265.02
PROD0057,Saree 57,Clothing,Saree,2672.59
PROD0058,Cookbook 58,Books,Cookbook,1185.96
PROD0059,Tablet 59,Electronics,Tablet,4021.39
PROD0060,Smart Watch 60,Electronics,Smart Watch,3958.3
PROD0061,Vase 61,Home,Vase,1937.12
PROD0062,Curtains 62,Home,Curtains,2965.79
PROD0063,Charger 63,Electronics,Charger,3719.9
PROD0064,Bedsheet 64,Home,Bedsheet,3819.62
PROD0065,Kurta 65,Clothing,Kurta,3498.7
PROD0066,Clock 66,Home,Clock,533.7
PROD0067,Kurta 67,Clothing,Kurta,712.72
PROD0068,Cookbook 68,Books,Cookbook,2411.85
PROD0069,Smartphone 69,Electronics,Smartphone,1200.94
PROD0070,Saree 70,Clothing,Saree,4302.31
PROD0071,Dress 71,Clothing,Dress,1452.17
PROD0072,Python Programming 72,Books,Python Programming,4389.99
PROD0073,Charger 73,Electronics,Charger,2072.8
PROD0074,Pillow 74,Home,Pillow,985.65
PROD0075,Bedsheet   75,Home,Bedsheet,3560.29
PROD0076,Charger 76,Electronics,Charger,3957.64
PROD0077,Fiction Novel 77,Books,Fiction Novel,2911.04
PROD0078,Cookbook 78,Books,Cookbook,633.25
PROD0079,Comics 79,Books,Comics,85.61
PROD0080,Shoes 80,Clothing,Shoes,3290.0
PROD0081,Kurta 81,Clothing,Kurta,3454.45
PROD0082,Comics 82,Books,Comics,1613.71
PROD0083,Lamp 83,Home,Lamp,1843.24
PROD0084,Smartphone 84,Electronics,Smartphone,816.15
PROD0085,Headphones 85,Electronics,Headphones,3275.3
PROD0086,Headphones 86,Electronics,Headphones,1305.48
PROD0087,T-Shirt 87,Clothing,T-Shirt,4282.14
PROD0088,Mirror 88,Home,Mirror,2146.63
PROD0089,Sandals   89,Clothing,Sandals,1859.94
PROD0090,Sandals   90,Clothing,Sandals,1414.02
PROD0091,Clock 91,Home,Clock,3419.0
PROD0092,Jacket 92,Clothing,Jacket,3787.11
PROD0093,Jacket 93,Clothing,Jacket,2095.48
